2025-10-22 17:44:28 | INFO     | CryptoBotDaemon | Alertes envoyées : 0
2025-10-22 17:44:28 | INFO     | CryptoBotDaemon | Erreurs : 0
2025-10-22 17:44:28 | INFO     | CryptoBotDaemon | ============================================================

2025-10-22 17:48:22 | INFO     | CryptoBotCLI | Configuration chargée depuis config/config.yaml
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | 🚀 CRYPTO BOT DAEMON DÉMARRÉ
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | Cryptos surveillées : BTC, ETH, SOL
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | Intervalle : 900s
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | Mode nuit : Désactivé
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | ============================================================
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | 🔍 Test de connexion Telegram...
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | ✓ Connecté au bot: @Bot_CryptoFlow_Bot
2025-10-22 17:48:22 | INFO     | CryptoBotDaemon | 📊 Génération du message de démarrage...
2025-10-22 17:48:26 | INFO     | CryptoBotDaemon |   ✓ BTC: 93423.99€
2025-10-22 17:48:28 | INFO     | CryptoBotDaemon |   ✓ ETH: 3308.93€
2025-10-22 17:48:30 | INFO     | CryptoBotDaemon |   ✓ SOL: 158.70€
2025-10-22 17:48:30 | INFO     | CryptoBotDaemon | ✅ Message de démarrage envoyé (notifications.yaml respecté)
2025-10-22 18:03:30 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 0h15m
2025-10-22 18:18:30 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 0h30m
2025-10-22 18:33:30 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 0h45m
2025-10-22 18:48:30 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 1h0m
2025-10-22 19:03:30 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 1h15m
2025-10-22 19:18:30 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 1h30m
2025-10-22 19:33:30 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 1h45m
2025-10-22 19:48:30 | INFO     | CryptoBotDaemon | 📊 [Stats] Checks: 0, Alertes: 0, Erreurs: 0 (consécutives: 0), Uptime: 2h0m
2025-10-22 19:54:26 | INFO     | CryptoBotDaemon | Signal 2 (SIGINT) reçu, arrêt du démon...
2025-10-22 19:54:26 | INFO     | CryptoBotDaemon | 
============================================================
2025-10-22 19:54:26 | INFO     | CryptoBotDaemon | 👋 CRYPTO BOT DAEMON ARRÊTÉ
2025-10-22 19:54:26 | INFO     | CryptoBotDaemon | ============================================================
